Instance,NN Distance,NN Time,NN Ratio,2-Opt Input Distance,2-Opt Input Time,2-Opt Input Ratio,2-Opt Input Swaps,2-Opt NN Distance,2-Opt NN Time,2-Opt NN Ratio,2-Opt NN Swaps
ar9152.tsp,1070701,19.670284271240234,1.2784810126582278,949968,608.6029078960419,1.1343185918691692,949968,911929,613.811961889267,1.088897751466007,911929
bm33708.tsp,1195683,286.2321443557739,1.2467875759506408,1427559,1178.2841007709503,1.4885741665111245,1427559,1097453,1212.8629314899445,1.1443591366522385,1097453
ca4663.tsp,1646884,5.511200189590454,1.2763386418397311,1469755,231.56166863441467,1.1390632859006184,1469755,1407419,159.6575107574463,1.0907527518388864,1407419
ch71009.tsp,5674512,1402.148948431015,1.2429244683768441,7119814,5013.420186758041,1.5594981614087717,7119814,5171426,4750.508862495422,1.1327303408293417,5171426
dj38.tsp,9745,0.0,1.4640925480769231,6707,0.010998964309692383,1.0076622596153846,6707,7241,0.008001327514648438,1.087890625,7241
eg7146.tsp,217532,11.807079076766968,1.2618890165094614,192889,415.3662574291229,1.1189365725754992,192889,189067,367.7451193332672,1.0967653985822514,189067
ei8246.tsp,257732,16.1097571849823,1.25008851875385,234735,625.1369292736053,1.1385451882175475,234735,225001,500.7868621349335,1.0913319526024514,225001
fi10639.tsp,649600,26.22823452949524,1.247966003684727,589410,608.0464990139008,1.1323331930908482,589410,567401,608.4753406047821,1.0900510444222875,567401
gr9882.tsp,388944,22.56938338279724,1.2926064892206355,342556,604.4517760276794,1.138441802731149,342556,331519,601.5710067749023,1.1017617207102715,331519
ho14473.tsp,223235,48.76110076904297,1.260559483206469,205116,720.1308794021606,1.158245431752987,205116,192889,697.6121048927307,1.0892022225735776,192889
it16862.tsp,706074,65.3940851688385,1.266920861631214,658708,766.6752667427063,1.1819312238141806,658708,613666,771.9518270492554,1.1011115796273203,613666
ja9847.tsp,665820,22.514421463012695,1.3535017604345387,558313,607.7397997379303,1.1349578390157828,558313,535879,614.8416821956635,1.0893532334263016,535879
kz9976.tsp,1358248,23.298255443572998,1.2790962452478196,1196185,639.0045959949493,1.1264774489796878,1196185,1163602,637.6560666561127,1.0957932197675635,1163602
lu980.tsp,14370,0.2211775779724121,1.2671957671957672,12692,5.0284340381622314,1.1192239858906525,12692,12401,5.769466161727905,1.0935626102292768,12401
mo14185.tsp,542653,46.273539781570435,1.2697290682465365,492324,719.9410860538483,1.1519665307211198,492324,466524,722.5377862453461,1.091598284418675,466524
mu1979.tsp,120907,0.919806957244873,1.391478979410986,95627,36.00612759590149,1.1005397567066786,95627,94514,25.42409873008728,1.0877306050108757,94514
nu3496.tsp,122115,2.886080503463745,1.2702846086630883,110251,75.50830888748169,1.1468709690841759,110251,104560,74.52916431427002,1.087671118878209,104560
pm8079.tsp,151137,15.516809940338135,1.3158939532453964,130052,459.13787317276,1.1323146576117713,130052,127600,450.83876752853394,1.1109660006094642,127600
qa194.tsp,11640,0.008999347686767578,1.2446535500427716,10446,0.16499948501586914,1.1169803250641575,10446,10580,0.16713500022888184,1.1313088109495295,10580
rw1621.tsp,33106,0.6778755187988281,1.2708149399255306,29780,16.074313402175903,1.1431422978004684,29780,28337,15.913849592208862,1.0877509500594986,28337
sw24978.tsp,1062617,146.40069770812988,1.241959707666109,1063382,1114.9537909030914,1.2428538201980606,1063382,954116,1131.9007380008698,1.1151465000461667,954116
tz6117.tsp,501184,9.169259548187256,1.2697267416231335,447049,344.6022472381592,1.1325781950658445,447049,433575,203.70077395439148,1.0984424323187694,433575
uy734.tsp,99247,0.12599778175354004,1.2544808756983594,89336,4.367392063140869,1.1292059559622822,89336,86581,2.9280741214752197,1.0943827893925222,86581
vm22775.tsp,707629,120.7550311088562,1.2430070544258793,713497,964.8322246074677,1.2533146667416142,713497,628152,1007.019526720047,1.1033993339048074,628152
wi29.tsp,36388,0.0,1.3182625076984387,27603,0.003999948501586914,1.0,27603,27750,0.002998828887939453,1.0053255080969459,27750
ym7663.tsp,308715,13.909863471984863,1.2954127747425666,270051,556.2297081947327,1.1331730406102873,270051,259451,440.2906129360199,1.0886939080372953,259451
zi929.tsp,113926,0.2046196460723877,1.194881745240967,104424,5.609328269958496,1.095222612617337,104424,101796,4.869833946228027,1.0676595521527086,101796
